"centre_no","size","supermarket.800","pharmacy.800","post.800","gp.800","mat.child.health.800","dentist.800","childcare.800","kindergarten.800","primary.800","comm.library.800","convenience.400","rest.cafe.400","park.400","bus.400.tram.600.train.800"
527,"small",0,0,0,86.71875,53.90625,1.5625,98.4375,0,19.53125,80.46875,0,73.4375,64.84375,96.09375
528,"small",100,100,100,100,0,0,93.9393939393939,93.9393939393939,78.1818181818182,0,87.8787878787879,72.7272727272727,93.9393939393939,100
529,"large",93.6324167872648,76.7727930535456,49.2764109985528,92.9811866859624,0,61.0709117221418,79.8842257597685,15.1953690303907,5.71635311143271,45.1519536903039,23.082489146165,22.0694645441389,21.6353111432706,66.2083936324168
53,"small",100,0,100,33.6776859504132,0,95.2479338842975,100,4.33884297520661,66.5289256198347,0,83.6776859504132,80.5785123966942,4.33884297520661,100
530,"small",16.8724279835391,0,0,0,0,94.6502057613169,44.8559670781893,20.9876543209877,7.40740740740741,20.1646090534979,0,0,77.3662551440329,98.3539094650206
531,"medium",96.039603960396,0,91.7491749174917,98.019801980198,0,93.2343234323432,96.6171617161716,43.4818481848185,38.4488448844884,0,16.6666666666667,36.1386138613861,81.7656765676568,70.7920792079208
532,"large",100,73.3449477351916,46.6898954703833,44.2508710801394,21.0801393728223,61.3240418118467,91.98606271777,54.7038327526132,34.1463414634146,36.2369337979094,36.5853658536585,55.5749128919861,71.602787456446,84.8432055749129
533,"small",0,0,97.8260869565217,0,0,0,100,100,15.2173913043478,0,80.9782608695652,91.304347826087,88.5869565217391,93.4782608695652
534,"large",97.9166666666667,32.7083333333333,52.2222222222222,73.3333333333333,0,55,77.6388888888889,1.25,36.1805555555556,12.8472222222222,33.5416666666667,11.4583333333333,98.6111111111111,75.9027777777778
535,"small",46.8036529680365,47.0319634703196,43.37899543379,55.7077625570776,0,0,100,98.6301369863014,95.662100456621,0,83.5616438356164,0.684931506849315,92.6940639269406,92.0091324200913
536,"large",93.9112487100103,96.9040247678019,72.0330237358101,96.9040247678019,74.6130030959752,95.1496388028896,94.1176470588235,37.7708978328173,78.8957688338493,74.5614035087719,21.2590299277606,74.0454076367389,92.9308565531476,100
537,"small",0,0,0,100,65.5172413793103,32.183908045977,78.1609195402299,65.5172413793103,64.9425287356322,0,0,9.19540229885057,81.0344827586207,94.2528735632184
538,"medium",89.9810964083176,89.413988657845,89.413988657845,97.7315689981096,0,78.0718336483932,84.3100189035917,42.9111531190926,59.9243856332703,45.3686200378072,31.758034026465,21.3610586011342,90.5482041587902,83.9319470699433
539,"small",84.8888888888889,32,12.8888888888889,93.1111111111111,16.2222222222222,99.3333333333333,99.3333333333333,16.2222222222222,95.1111111111111,0,9.55555555555556,25.1111111111111,79.5555555555556,94
54,"large",95.717505634861,79.2637114951165,75.5071374906086,84.4477836213373,29.977460555973,91.5101427498122,84.1472577009767,47.1825694966191,49.060856498873,59.2036063110443,34.6356123215627,42.7498121712998,97.9714500375657,89.3313298271976
540,"medium",95.4764196342637,85.7555341674687,0,87.1029836381136,4.71607314725698,88.7391722810395,88.2579403272377,2.98363811357074,24.6390760346487,0,30.4138594802695,24.3503368623677,91.4340712223292,75.0721847930703
541,"small",99.6078431372549,71.7647058823529,0,93.7254901960784,0,67.0588235294118,14.9019607843137,20.7843137254902,1.96078431372549,0,92.5490196078431,37.6470588235294,94.5098039215686,21.9607843137255
542,"small",0,0,0,0,0,0,17.0588235294118,15.2941176470588,15.2941176470588,0,0,91.1764705882353,22.3529411764706,92.9411764705882
543,"small",0,0,0,0,0,0.842696629213483,28.9325842696629,39.8876404494382,100,0,85.9550561797753,79.7752808988764,100,82.8651685393258
