"centre_no","size","rest.cafe.400","bus.400.tram.600.train.800","supermarket.800","convenience.400","butcher.800","bakery.800","pharmacy.800","post.800","park.400","comm.ctr.800","childcare.800","kindergarten.800","primary.800","distsport.800","comm.health.800","mat.child.health.800","gp.400","dentist.800"
106,"small",92.2671353251318,100,52.5483304042179,0,0,100,0,0,85.9402460456942,0,78.7346221441125,26.0105448154657,62.7416520210896,16.1687170474517,0,100,0,94.9033391915642
1060,"small",98.1666666666667,100,8.33333333333333,0,0,0,0,0,100,53.5,99.3333333333333,15.5,0,100,0,0,30.8333333333333,100
1061,"large",86.8852459016393,98.8923349579087,97.0536109880372,56.9007532122286,61.0655737704918,75.8418254319894,9.59237926451041,0,69.53921134249,50.4541426672574,100,78.0350022153301,81.2472308373948,49.0363314133806,52.0824102791316,35.2126716880815,55.0841825431989,88.7461231723527
1062,"large",90.6193314330137,100,99.9222596527598,62.5291526302151,72.0393884426017,99.5076444674786,0.492355532521379,0,99.4558175693185,60.1192018657683,100,2.17672972272609,98.0046644208344,84.1150557139155,0,37.5226742679451,48.4322363306556,84.6074112464369
1063,"large",67.3234811165846,99.8905309250137,78.7082649151615,60.3174603174603,30.8429118773946,77.1483305966065,9.49644225506295,0,100,74.904214559387,100,0.328407224958949,98.0569239189929,43.8970990695129,0,17.487684729064,40.3940886699507,58.31964969896
1064,"small",99.8738170347003,100,97.8548895899054,58.3596214511041,89.4006309148265,73.4384858044164,26.0567823343849,0,100,100,100,80.9463722397476,100,32.807570977918,100,100,81.198738170347,100
1065,"small",87.0393900889454,100,91.6137229987294,34.8792884371029,68.3608640406607,64.3583227445997,0,0,89.7712833545108,4.38373570520966,98.4116899618806,98.2210927573062,66.1372299872935,100,60.6099110546379,53.6848792884371,33.989834815756,98.7293519695044
1066,"small",98.3505154639175,76.9072164948454,85.7731958762887,71.1340206185567,8.04123711340206,31.0309278350515,0,0,100,0,100,18.659793814433,50.4123711340206,100,1.23711340206186,85.7731958762887,41.9587628865979,41.8556701030928
1067,"small",89.0728476821192,100,100,99.8675496688742,99.8675496688742,100,0,0,100,51.8543046357616,100,69.4701986754967,100,0,40.9271523178808,85.4966887417219,51.3245033112583,100
1068,"large",32.4155193992491,100,98.6232790988736,15.8948685857322,0,0,98.6232790988736,0,99.874843554443,1.37672090112641,21.9023779724656,11.2640801001252,98.6232790988736,99.874843554443,0,0,9.26157697121402,19.0237797246558
1069,"small",84.1140529531568,88.7983706720978,75.7637474541752,26.0692464358452,1.0183299389002,1.0183299389002,0,0,98.9816700610998,0,62.5254582484725,68.6354378818737,28.7169042769857,100,0,0,0,10.3869653767821
107,"large",59.8656591099916,95.4659949622166,86.3140218303946,27.120067170445,0,65.6591099916037,0,22.4181360201511,90.5961376994123,0,85.1385390428212,4.19815281276238,14.2737195633921,6.29722921914358,0,64.399664147775,0,68.0100755667506
1070,"small",99.8948475289169,100,100,68.8222923238696,96.3196635120925,98.1598317560463,62.1976866456362,0,100,100,100,68.4016824395373,100,14.6687697160883,100,100,92.3764458464774,100
1071,"large",29.2275574112735,32.9853862212944,96.6597077244259,61.1691022964509,0,98.3298538622129,96.6597077244259,85.3862212943633,83.0897703549061,86.2212943632568,92.4843423799582,86.2212943632568,26.9311064718163,100,0,33.4029227557411,0,53.8622129436326
1072,"small",100,94.2622950819672,98.3606557377049,70.4918032786885,98.3606557377049,98.3606557377049,100,74.5901639344262,59.8360655737705,0,70.4918032786885,27.0491803278689,54.0983606557377,100,1.63934426229508,0,50.8196721311475,84.4262295081967
1073,"large",33.4630350194552,51.3618677042802,94.5525291828794,42.9961089494163,0,0,89.8832684824903,89.8832684824903,16.147859922179,25.2918287937743,90.6614785992218,84.4357976653696,27.0428015564202,42.2178988326848,0,0,37.3540856031128,0
1074,"medium",59.0673575129534,74.6113989637306,92.7461139896373,59.0673575129534,0,0,68.3937823834197,0,58.0310880829015,0,33.6787564766839,14.5077720207254,39.3782383419689,69.4300518134715,0,14.5077720207254,24.8704663212435,0
1075,"small",0,91.304347826087,51.3833992094862,0,0,28.4584980237154,35.9683794466403,26.4822134387352,100,21.7391304347826,98.8142292490119,0,9.88142292490119,100,0,0,1.58102766798419,47.0355731225296
1076,"small",91.7647058823529,94.1176470588235,0,0,0,0,0,18.8235294117647,100,0,0,0,0,100,0,0,0,0
1077,"large",34.2995169082126,92.109500805153,89.5330112721417,44.2834138486312,0,70.3703703703704,92.2705314009662,0,32.8502415458937,0,97.4235104669887,76.8115942028985,84.3800322061192,8.21256038647343,0,76.6505636070853,20.1288244766506,70.3703703703704
1078,"large",73.992673992674,100,95.970695970696,9.89010989010989,94.8717948717949,99.6336996336996,97.0695970695971,100,94.5054945054945,0,99.6336996336996,47.2527472527472,97.8021978021978,28.2051282051282,0,42.1245421245421,44.3223443223443,96.3369963369963
